ID,FechaHora,NombreResponsable,Area,Circuito_Corregido,Estructura_Tag_Corregido,Latitud_Manual,Longitud_Manual,Apoyo_Tipo,Apoyo_Subtipo,Configuracion,Disposicion,ResistenciaPlaca,PesoPlaca,Templete_Observaciones,Aislador_Tipo,Aislador_A,Aislador_B,Aislador_C,DSD,DPS,DPS_A,DPS_B,DPS_C,Seccionador,Reconectador,Linepost,Transformador,PT,CT,Fusible,Mufa,Enrollamiento_Cable,Observaciones_Equipos,Afloramiento,Conectores_Afloramiento,Tuberia_Afloramiento,Cable,SPT_Bajante,SPT_Conexion,SPT_Cantidad,SPT_Estado,Herrajes_Accesorios,Cable_De_Guarda
62,16/10/2025 9:14,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE17,44.278.525,-72.681.214,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y avifauna ,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
63,16/10/2025 9:22,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE15,4.428.781,-72.679.203,Poste,Concreto,Retención (Corte),Triangular,1350,2990,avifauna oxidada 1 templete sin avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
64,16/10/2025 9:25,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE16,44.284.154,-726.802.233,Poste,Madera,Suspensión,Triangular,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
309,21/10/2025 8:48,GEOPARK ,PÓRTICO DERIVACIÓN,PDT-TT,CTT-TTE14,444.591,-72.630.391,Poste,Concreto,Suspensión,Triangular,1050,2940,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
66,16/10/2025 10:02,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE13,443.024,-72.679.829,Poste,Concreto,Retención (Corte),Triangular,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
67,16/10/2025 10:07,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE12,44.306.109,-72.680375,Poste,Concreto,Retención (Corte),Triangular,1050,2940,1 Avifauna oxidada,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
68,16/10/2025 10:20,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE11,4.431.463,-72.680.618,Poste,Concreto,Suspensión,Triangular,1050,2940,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
69,16/10/2025 10:22,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE10,4.432.292,-72.680.765,Poste,Concreto,Retención (Corte),Horizontal,1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
71,16/10/2025 10:49,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE08,4.432.637,-72.679.956,Poste,Concreto,Retención (Corte),Derivación (Cruce doble remate),1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,Sí,No,Sí,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
35,15/10/2025 10:35,GEOPARK,JACANA ,JCB - TIE,JCB-TIE12,439.501,-72.714.661,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,Sí,1,1,1,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,2,Bueno,Herrajes,Sí
29,15/10/2025 9:50,GEOPARK,JACANA ,JCB - TIE,JCB-TIE18,4.389.924,-72.711.461,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,Sí,1,1,1,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
74,16/10/2025 11:09,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE05,4.432.636,-72.679.776,Poste,Concreto,Retención (Corte),Derivación (Cruce doble remate),1350,2990,Aisladores y avifauna,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
75,16/10/2025 11:12,GEOPARK,TIGANA ,TSUR-TSW,TS-TSWE04,4.432.632,-72.678.861,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
77,16/10/2025 11:33,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE02,4.433.399,-7.267.795,Poste,Concreto,Pullover (Cruce vertical),,1350,2600,Aisladores y avifauna ,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
78,16/10/2025 11:36,GEOPARK ,TIGANA ,TSUR-TSW,TS-TSWE01,4.433.397,-72.677.753,Poste,Concreto,Pullover (Cruce vertical),,1350,2600,Aisladores y avifauna ,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Cable de guarda,1,Bueno,,Sí
,19/10/2025 7:33,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE45,4.373.779,-727.166,Poste,Concreto,Retención (Corte),,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
217,19/10/2025 7:28,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE44,4.373.407,-72.716.283,Poste,Concreto,Retención (Corte),Canadiense,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
218,19/10/2025 7:32,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE43,4.373.069,-72.715.937,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
219,19/10/2025 7:38,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE42,4.372.614,-72.716.374,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
220,19/10/2025 7:42,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE41,4.372.161,-72.716.822,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
221,19/10/2025 7:46,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE40,4.371.687,-72.717.266,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
222,19/10/2025 7:49,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE39,4.371.882,-72.717.555,Poste,Concreto,Retención (Corte),Canadiense,1350,2990,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
223,19/10/2025 7:52,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE38,4.372.364,-72.718.068,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
254,20/10/2025 8:25,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE46,43.740.793,-727.166.588,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
255,20/10/2025 8:33,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE47,4.374.755,-72.716.262,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
256,20/10/2025 8:39,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE48,4.375.443,-72.716.043,Poste,Concreto,Pullover (Cruce vertical),,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
257,20/10/2025 8:45,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE49,43.759.724,-727.165.489,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
258,20/10/2025 8:50,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE50,43.766.399,-727.170.261,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,2,Bueno,Herrajes,Sí
259,20/10/2025 8:55,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE51,4.377.537,-72.717.565,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
260,20/10/2025 9:01,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE52,4.378.267,-72.718.102,Poste,Concreto,Suspensión,Canadiense,1050,2300,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
261,20/10/2025 9:05,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE53,4.378.919,-72.718.586,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
262,20/10/2025 9:09,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE54,4.379.561,-72.718.798,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
263,20/10/2025 9:17,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE55,438.023,-72.718.716,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
264,20/10/2025 9:27,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE56,4.381.035,-72.718.224,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
265,20/10/2025 9:39,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE57,43.815.432,-72.717.616,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
266,20/10/2025 9:44,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE58,43.820.733,-727.169.457,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
267,20/10/2025 9:47,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE60,43.830.533,-727.155.772,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
268,20/10/2025 9:52,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE59,43.825.799,-72.716.214,Poste,Concreto,Suspensión,Canadiense,1350,2990,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
269,20/10/2025 10:10,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE61,43.836.095,-727.148.196,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
270,20/10/2025 10:20,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE62,4.383.917,-72.713.765,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,Discos,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
271,20/10/2025 10:39,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE63,43.841.331,-727.132.973,Poste,Concreto,Suspensión,Canadiense,1350,2600,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
272,20/10/2025 10:44,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE64,43.843.832,-727.125.181,Poste,Concreto,Suspensión,Canadiense,1350,2600,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
273,20/10/2025 10:53,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE65,4.384.679,-727.117.654,Poste,Concreto,Retención (Corte),Canadiense,1350,2600,,Ceramica (Aislador de suspensión),8,8,8,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
274,20/10/2025 10:57,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE66,43.849.187,-727.109.987,Poste,Concreto,Suspensión,Canadiense,1350,2600,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
275,20/10/2025 11:00,GEOPARK,JACANA ,TISE -TIE TR2,TSE-TIE67,4.385.185,-727.102.268,Poste,Concreto,Suspensión,Canadiense,1350,2600,,Ceramica (Aislador de suspensión),4,4,4,,No,,,,No,No,No,No,No,No,No,No,No,,No,,,No,Cable desnudo,Sí,1,Bueno,Herrajes,Sí
